INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb_rect_float.cpp in debug mode
   Generating csim.exe
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: 0.05749, Resultado esperado: 0.05749, Resultado obtenido: 0.05749
Entrada: 0.041521, Resultado esperado: 0.041521, Resultado obtenido: 0.041521
Entrada: 0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: 0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.01597, Resultado esperado: 0.01597, Resultado obtenido: 0.01597
Entrada: -0.01597, Resultado esperado: 0.01597, Resultado obtenido: 0.01597
Entrada: -0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: 0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: -0.041521, Resultado esperado: 0.041521, Resultado obtenido: 0.041521
Entrada: -0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0.01597, Resultado esperado: 0.01597, Resultado obtenido: 0.01597
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: -0.047909, Resultado esperado: 0.047909, Resultado obtenido: 0.047909
Entrada: -0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: 0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: 0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: -0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: -0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: -0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.01597, Resultado esperado: 0.01597, Resultado obtenido: 0.01597
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: -0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: -0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: -0.047909, Resultado esperado: 0.047909, Resultado obtenido: 0.047909
Entrada: -0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: 0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: -0.01597, Resultado esperado: 0.01597, Resultado obtenido: 0.01597
Entrada: -0.044715, Resultado esperado: 0.044715, Resultado obtenido: 0.044715
Entrada: -0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.031939, Resultado esperado: 0.031939, Resultado obtenido: 0.031939
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0.01597, Resultado esperado: 0.01597, Resultado obtenido: 0.01597
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: -0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: -0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: -0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.041521, Resultado esperado: 0.041521, Resultado obtenido: 0.041521
Entrada: 0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: -0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: 0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0.038327, Resultado esperado: 0.038327, Resultado obtenido: 0.038327
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: 0, Resultado esperado: 0, Resultado obtenido: 0
Entrada: -0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: -0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.01597, Resultado esperado: 0.01597, Resultado obtenido: 0.01597
Entrada: -0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: 0.047909, Resultado esperado: 0.047909, Resultado obtenido: 0.047909
Entrada: 0.035133, Resultado esperado: 0.035133, Resultado obtenido: 0.035133
Entrada: 0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: 0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: -0.012776, Resultado esperado: 0.012776, Resultado obtenido: 0.012776
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: 0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: 0.028745, Resultado esperado: 0.028745, Resultado obtenido: 0.028745
Entrada: 0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: -0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: -0.022357, Resultado esperado: 0.022357, Resultado obtenido: 0.022357
Entrada: -0.047909, Resultado esperado: 0.047909, Resultado obtenido: 0.047909
Entrada: -0.025551, Resultado esperado: 0.025551, Resultado obtenido: 0.025551
Entrada: -0.006388, Resultado esperado: 0.006388, Resultado obtenido: 0.006388
Entrada: 0.003194, Resultado esperado: 0.003194, Resultado obtenido: 0.003194
Entrada: 0.019163, Resultado esperado: 0.019163, Resultado obtenido: 0.019163
Entrada: 0.009582, Resultado esperado: 0.009582, Resultado obtenido: 0.009582
Testbench Completado con exito
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
